employee_id,first_name,last_name,gender,dob,personal_email,official_email,phone,city,state,address,department,designation,joining_date,exit_date,employment_status,employment_type,salary,grade,pan_number,uan_number,bank_account,ifsc_code,bank_name,manager_id,branch_location,cost_center,remarks
EMP-00001,Neha,Krishnan,Female,1975-08-11,nehkrishnan@yahoo.co.in,neha.krishnan@company.co.in,6519823082,Surat,Gujarat,"Flat 193, Nehru Colony",Sales,Trainee,6/5/2005,,Terminated,Full Time,259782,G3,NYLGO9648I,252095249631,21596918251,CNRB0001234,Bank of Baroda,EMP-00001,,CC-824,
EMP-00002,Shruti,,Male,18/01/1998,shrutis@company.in,shruti.saha@company.co.in,9171576191,Ambala,Haryana,,IT,AGM,18/10/2011,,Active,Full Time,Confidential,G5,FTTPU7030L,893800675633,Not Submitted,,Canara Bank,,,CC-876,Absconding
EMP-00003,Rajesh,Tripathi,Male,27-05-1982,rajesh935@icloud.com,rajesh.tripathi@company.co.in,6409182261,Delhi,Delhi,NA,Logistics,Intern,06/10/2021,Active,Active,Full Time,,G4,NIEON3464F,826154620983,NA,,,EMP-00001,Regional Office,,
EMP-00004,,BOSE,M,31-01-1993,pooja416@hotmail.com,pooja.bose@company.co.in,9384978390,Madurai,Tamil Nadu,"Flat 136, Sector 66",Logistics,Executive,31/07/2024,Active,On Leave,Full Time,59758,G2,Applied,342225957007,96359493722,,ICICI Bank,EMP-00001,Madurai,CC-227,
EMP-00005,,Wadia,Male,15-09-1997,nwadia@ymail.com,neha.wadia@company.co.in,,Noida,Uttar Pradesh,"Flat 1897, MG Nagar",Quality,Team Lead,2008-10-29,03/23/2015,Active,Contract,Confidential,G1,,419606995245,,AXIS0004567,ICICI Bank,,Head Office,CC-115,
EMP-00006,Dhruv,Kapoor,Female,01-Sep-73,,NA,08347447170,Udaipur,Rajasthan,,Finance,Intern,13-08-2020,,Active,Full Time,Confidential,G5,VTWWC2253J,831134047452,85803179434,CNRB0001234,Canara Bank,EMP-00003,Head Office,CC-204,On probation
EMP-00007,Akash,Wadia,Male,18/06/1995,akwad@ymail.com,akash.wadia@company.co.in,+918593599803,Salem,Tamil Nadu,"Flat 1353, Nehru Colony",Operations,Consultant,04/11/2010,,Probation,Full Time,As per CTC,G3,PZUDV2046V,478739140953,84848048184,SBIN0003456,Union Bank,NA,Salem,CC-146,Confirmed
EMP-00008,Geeta,Kulkarni,M,04/23/1974,gekul@gmail.com,geeta.kulkarni@company.co.in,9255074973,Jaipur,Rajasthan,"Flat 492, Nehru Colony",Logistics,Director,2/1/2006,10-Mar-06,Active,Full Time,50437,M1,N/A,146744657711,25729226491,NA,NA,EMP-00002,Jaipur,,
EMP-00009,  Lalita,,M,1982/04/06,,lalita.shukla@company.co.in,8112691834,Nagpur,Maharashtra,"Flat 838, Shivaji Nagar",Legal,Analyst,09/09/2022,,Active,Full Time,,G7,BIBEX8387C,174764072572,41324617136,CNRB0001234,SBI,,Regional Office,,On paternity leave
EMP-00010,Sneha,,Female,1995-04-24,,sneha.pawar@company.co.in,8529256784,Jalandhar,Punjab,"Flat 150, Gandhi Road",,Consultant,12-03-2022,,Active,Full Time,18335,M1,AINTK0180M,123322831185,65500486598,IOBA0001234,Axis Bank,EMP-00001,Jalandhar,CC-247,On probation
EMP-00011,Jagdish,,Male,16/02/1981,deshpande.jagdish@yahoo.co.in,jagdish.deshpande@company.co.in,7912-7851-02,Dhanbad,Jharkhand,"Flat 1533, MG Nagar",,Supervisor,07/14/2007,NA,On Leave,Full Time,187680,G3,,908305086488,70219096377,KOTK0005678,IOB,,Dhanbad,CC-748,Confirmed
EMP-00012,Rekha,Rajput,,1975/11/29,rajputrekha@hotmail.com,,7376-2940-02,Ludhiana,Punjab,,Legal,Analyst,03/13/2012,,Retired,Full Time,226211,G4,N/A,NA,,PUNB0001234,HDFC Bank,,,CC-833,Absconding
EMP-00013,Ankit,CHAUDHARY,F,03/18/1981,ankit_cha@outlook.com,ankit.chaudhary@company.co.in,7355298570,Faridabad,Haryana,"Flat 1167, Nehru Colony",Legal,DGM,11/1/2014,Active,Active,Full Time,223439,,UDWWV0239M,593958369058,77762935429,,Canara Bank,EMP-00009,Head Office,,Confirmed
EMP-00014,Amit,Mukherjee,Male,16/09/1998,amimukherjee@yahoo.co.in,amit.mukherjee@company.co.in,95786 83220,Hyderabad,Telangana,"Flat 1735, Gandhi Road",Admin,AGM,03/13/2017,,Active,Full Time,376626,NA,,771060268276,85361463299,KOTK0005678,ICICI Bank,EMP-00009,Hyderabad,CC-651,Star performer
EMP-00015,,Gupta,Male,25-Jun-99,wasgupta@rediffmail.com,wasim.gupta@company.co.in,08594217569,Udaipur,Rajasthan,"Flat 702, Nehru Colony",Sales,GM,2023-01-11,,Active,Intern,117372 PM,G5,,,45673793480,CNRB0001234,SBI,EMP-00008,Udaipur,CC-712,Star performer
EMP-00016,isha,,Female,06-Sep-97,na@na.com,NA,,Barmer,Rajasthan,"Flat 67, Nehru Colony",IT,AGM,2007-09-25,,Active,,36044,M1,IDPLS8231P,Not Enrolled,60607204209,BARB0001234,ICICI Bank,,Barmer,CC-391,
EMP-00017,Zara,desai,Male,1998/09/01,zdesai@company.in,zara.desai@company.co.in,+919476988976,Bikaner,Rajasthan,"Flat 873, Gandhi Road",IT,Director,2005/02/07,,Terminated,Contract,273602,G4,N/A,525056108403,,KOTK0005678,Union Bank,EMP-00009,,CC-895,Confirmed
EMP-00018,Neha,Jindal,Male,1979-06-30,neha_jin@gmail.com,neha.jindal@company.co.in,,Bengaluru,Karnataka,"Flat 179, Sector 77",Legal,Intern,18 Dec 2005,,Probation,Full Time,226998,G7,ZWEPA1508K,NA,NA,AXIS0004567,ICICI Bank,EMP-00014,Bengaluru,CC-955,Confirmed
EMP-00019,Ayesha,Kadam,Male,12-06-1972,ayekadam@rediffmail.com,ayesha.kadam@company.co.in,7749864625,Jaipur,Rajasthan,"Flat 1673, Shivaji Nagar",Admin,Consultant,2014-09-28,,Active,Full Time,,NA,N/A,853358705549,,PUNB0001234,ICICI Bank,EMP-00008,Head Office,,Resigned - Notice period
EMP-00020,,Tiwari,Female,07/12/1975,patiw@company.in,padma.tiwari@company.co.in,+91-85082-17172,Udaipur,Rajasthan,"Flat 952, Sector 13",Customer Service,VP,05/12/2020,,Active,Full Time,230893,G3,OTXNA7185V,NA,52890420354,BARB0001234,HDFC Bank,EMP-00007,Udaipur,CC-919,On probation
EMP-00021,Usha,,Male,1991-12-12,ushaman@hotmail.com,,8245272717,Jalandhar,Punjab,"Flat 1604, Sector 22",Operations,DGM,11 Sep 2005,,Active,Full Time,204978,G1,EUVTU1389X,,,UBIN0001234,HDFC Bank,EMP-00002,Jalandhar,CC-629,On probation
EMP-00022,Ayesha,Tripathi,Male,07/10/2001,ayesha776@business.co.in,atripathi@company.co.in,08190763335,Pune,Maharashtra,NA,Operations,Consultant,2014-09-13,,Resigned,Full Time,75416,G5,Applied,,13137940029,,SBI,HOD,Pune,CC-165,On probation
EMP-00023,Qasim,Goenka,Male,07/05/1990,,qasim.goenka@company.co.in,6519132217,Pali,Rajasthan,NA,R&D,Officer,13/04/2020,,Active,Full Time,46701,G5,AWCLV9507U,678014659417,,HDFC0001234,PNB,EMP-00001,Head Office,CC-143,On probation
EMP-00024,Nisha,RAO,Female,16/11/1977,nisharao@gmail.com,nisha.rao@company.co.in,+919949586187,Hyderabad,Telangana,"Flat 1768, Nehru Colony",Marketing,AGM,,,Active,Full Time,17865,G6,LTNTR5721D,171832055297,Not Submitted,ICIC0002345,SBI,,Regional Office,CC-457,
EMP-00025,Neha,Venkat,Male,11/12/2000,neven@yahoo.co.in,neha.venkat@company.co.in,8291602764,Ranchi,Jharkhand,"Flat 1175, MG Nagar",Procurement,Director,2017/05/09,Active,Active,Part Time,63817,G3,DSGIR1738P,805900106087,19140203195,AXIS0004567,NA,EMP-00001,Regional Office,NA,
EMP-00026,Priya,Bose,F,06/12/1987,pbose@ymail.com,priya.bose@company.co.in,9598018418,Jalandhar,Punjab,,R&D,Associate,06/09/2024,Active,Terminated,Contract,77069,G3,PYOLM0987B,353795814688,45540517659,CNRB0001234,Bank of Baroda,EMP-00001,Head Office,CC-993,Confirmed
EMP-00027,Suresh,Thakur,Female,,sthakur@hotmail.com,suresh.thakur@company.co.in,77008 49382,Dhanbad,Jharkhand,"Flat 425, MG Nagar",Sales,Senior Executive,03/09/2015,,Active,Consultant,186646 PM,G1,,444459030621,46409919511,PUNB0001234,Axis Bank,EMP-00016,Dhanbad,CC-865,
EMP-00028,SNEHA,Joshi,Male,16-02-2002,na@na.com,sneha.joshi@company.co.in,78166 92740,Ahmedabad,Gujarat,,Customer Service,Senior Executive,23-07-2009,,Active,Contract,78936,M1,Applied,525708038059,19172148662,BARB0001234,,EMP-00021,Regional Office,CC-296,Transfer pending
